epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,882.334,0.93554,1.7684,1.14695,0.74568,0.78141,0.8254,0.60309,0.89712,2.09901,1.15008,0.000551221,0.000551221,0.000551221
2,1773.18,0.99703,1.27236,1.17469,0.79123,0.7432,0.79121,0.48406,1.29505,1.90819,1.39692,0.00108497,0.00108497,0.00108497
3,2942.8,1.03354,1.05323,1.17746,0.64124,0.69189,0.69205,0.40572,1.20555,1.50658,1.33616,0.00159672,0.00159672,0.00159672
4,4941.65,1.00334,0.9304,1.15729,0.86808,0.82741,0.8881,0.679,0.95247,1.00968,1.16065,0.00156798,0.00156798,0.00156798
5,7101.07,0.98232,0.81463,1.13591,0.78096,0.77068,0.87756,0.65132,0.98389,1.01721,1.17639,0.00153497,0.00153497,0.00153497
6,9265.3,0.93646,0.7562,1.11843,0.84049,0.88443,0.92899,0.7109,0.84871,0.78392,1.09706,0.00150197,0.00150197,0.00150197
7,10414,0.95285,0.7335,1.13372,0.67255,0.66694,0.74646,0.53787,1.05282,1.46218,1.30616,0.00146896,0.00146896,0.00146896
8,12766.3,0.91124,0.70423,1.10525,0.87446,0.90342,0.95509,0.76434,0.80962,0.64888,1.06871,0.00143595,0.00143595,0.00143595
9,14137.6,0.89169,0.67436,1.09634,0.93387,0.87366,0.9475,0.74789,0.84497,0.68958,1.08111,0.00140295,0.00140295,0.00140295
10,15888.3,0.86981,0.64981,1.08724,0.88184,0.92278,0.94303,0.77083,0.75895,0.63673,1.01688,0.00136994,0.00136994,0.00136994
11,16796.5,0.83584,0.60681,1.07261,0.94869,0.89128,0.96572,0.78001,0.819,0.59546,1.05082,0.00133693,0.00133693,0.00133693
12,17652.8,0.8283,0.59629,1.06553,0.90711,0.89388,0.95388,0.77613,0.74507,0.61765,1.02599,0.00130393,0.00130393,0.00130393
13,18510.3,0.82955,0.58864,1.06475,0.91929,0.93176,0.97202,0.80114,0.73838,0.52078,1.00551,0.00127092,0.00127092,0.00127092
14,19380,0.81284,0.57641,1.05387,0.89182,0.8756,0.9695,0.79875,0.77001,0.6118,1.0076,0.00123791,0.00123791,0.00123791
15,20237.5,0.81747,0.56977,1.0634,0.96265,0.80602,0.92031,0.73113,0.84285,0.74712,1.09478,0.00120491,0.00120491,0.00120491
16,21102.8,0.80955,0.55121,1.05279,0.93209,0.93781,0.96761,0.8127,0.71352,0.50822,0.99771,0.0011719,0.0011719,0.0011719
17,21966.9,0.77633,0.53206,1.05509,0.92218,0.9357,0.97892,0.82074,0.73049,0.47819,1.02028,0.00113889,0.00113889,0.00113889
18,22825.3,0.7954,0.53555,1.05007,0.89202,0.92008,0.97879,0.81693,0.74041,0.56026,0.99886,0.00110589,0.00110589,0.00110589
19,23679.8,0.78521,0.52159,1.0487,0.94411,0.94522,0.98407,0.82094,0.68788,0.44131,0.98115,0.00107288,0.00107288,0.00107288
20,24581.5,0.75692,0.51194,1.03093,0.93139,0.94805,0.97976,0.82356,0.70002,0.44875,0.97264,0.00103987,0.00103987,0.00103987
21,25423.6,0.76288,0.48605,1.03147,0.92038,0.94772,0.98186,0.82198,0.68766,0.45158,0.97939,0.00100687,0.00100687,0.00100687
22,26288.9,0.76071,0.49436,1.0262,0.93932,0.95733,0.98567,0.82596,0.69496,0.4272,0.9785,0.000973861,0.000973861,0.000973861
23,27183.3,0.74717,0.49241,1.02666,0.93736,0.95765,0.9826,0.82787,0.68605,0.42027,0.97736,0.000940855,0.000940855,0.000940855
24,28066,0.72259,0.46998,1.01456,0.92335,0.9575,0.96571,0.81496,0.69817,0.437,0.99452,0.000907848,0.000907848,0.000907848
25,28952.9,0.74192,0.47915,1.03474,0.94641,0.94449,0.98065,0.83148,0.68327,0.42498,0.98528,0.000874842,0.000874842,0.000874842
26,29849.1,0.72037,0.4672,1.02011,0.93996,0.96119,0.98552,0.83538,0.67552,0.41622,0.96145,0.000841835,0.000841835,0.000841835
27,30750.4,0.72406,0.46806,1.01633,0.95034,0.95554,0.99086,0.85125,0.67069,0.39042,0.96906,0.000808828,0.000808828,0.000808828
28,31825.5,0.71476,0.46461,1.01998,0.94002,0.98022,0.99136,0.85263,0.66422,0.37698,0.95014,0.000775822,0.000775822,0.000775822
29,32703.3,0.71585,0.44949,1.02187,0.94146,0.96017,0.98961,0.84113,0.66388,0.39308,0.96052,0.000742815,0.000742815,0.000742815
30,33573.7,0.70471,0.44115,1.00932,0.95469,0.96509,0.98899,0.85171,0.66546,0.35653,0.95899,0.000709809,0.000709809,0.000709809
31,34454.2,0.69241,0.42829,1.00932,0.95608,0.97375,0.99019,0.85002,0.66779,0.37406,0.96005,0.000676802,0.000676802,0.000676802
32,35325.3,0.69654,0.43139,1.01325,0.96086,0.96242,0.98927,0.84943,0.64378,0.37162,0.9556,0.000643795,0.000643795,0.000643795
33,36327.6,0.68587,0.41764,1.00497,0.94966,0.95855,0.99001,0.85533,0.65076,0.38658,0.95638,0.000610789,0.000610789,0.000610789
34,37261.4,0.68881,0.42507,1.00508,0.96111,0.96652,0.98906,0.86144,0.63413,0.35582,0.93804,0.000577782,0.000577782,0.000577782
35,38143.1,0.66588,0.41408,0.99024,0.94697,0.95347,0.9887,0.85771,0.63875,0.35222,0.95111,0.000544776,0.000544776,0.000544776
36,39033.9,0.65734,0.40114,0.99159,0.95213,0.96587,0.98946,0.87465,0.61607,0.33749,0.93671,0.000511769,0.000511769,0.000511769
37,39906.1,0.66744,0.40902,0.99167,0.94785,0.95876,0.99025,0.86853,0.62035,0.35071,0.94204,0.000478762,0.000478762,0.000478762
38,40787.4,0.65021,0.39136,0.98341,0.95966,0.95632,0.99061,0.87067,0.61507,0.34717,0.93218,0.000445756,0.000445756,0.000445756
39,71998,0.65783,0.38813,0.98691,0.96261,0.9685,0.98892,0.86735,0.61992,0.34235,0.93044,0.000412749,0.000412749,0.000412749
40,73038.6,0.64097,0.39292,0.98848,0.95481,0.97978,0.99214,0.86494,0.62382,0.33332,0.93702,0.000379743,0.000379743,0.000379743
41,73894.5,0.53292,0.3022,0.94035,0.96512,0.97006,0.9903,0.86618,0.61953,0.34061,0.94129,0.000346736,0.000346736,0.000346736
42,74742.1,0.51831,0.29252,0.92741,0.96108,0.96166,0.99103,0.86662,0.6255,0.33635,0.94687,0.000313729,0.000313729,0.000313729
43,75611.3,0.52297,0.29481,0.93705,0.95741,0.97099,0.99177,0.86988,0.61584,0.31722,0.93052,0.000280723,0.000280723,0.000280723
44,76473.1,0.50463,0.28042,0.92374,0.97374,0.96606,0.98948,0.86582,0.61142,0.32136,0.93379,0.000247716,0.000247716,0.000247716
45,77326.6,0.49789,0.27317,0.91555,0.96927,0.96897,0.99137,0.87262,0.61111,0.32203,0.92884,0.00021471,0.00021471,0.00021471
46,78172.9,0.49397,0.27203,0.91966,0.97169,0.96558,0.99229,0.87846,0.59903,0.29665,0.93273,0.000181703,0.000181703,0.000181703
47,79031.2,0.47802,0.2576,0.9098,0.97366,0.96755,0.99134,0.87728,0.60392,0.30477,0.93597,0.000148696,0.000148696,0.000148696
48,79913.1,0.47206,0.26162,0.91247,0.97227,0.97194,0.99092,0.87956,0.60137,0.30092,0.928,0.00011569,0.00011569,0.00011569
49,80787.4,0.47198,0.25325,0.91666,0.97506,0.96775,0.99119,0.8798,0.60117,0.29385,0.929,8.26832e-05,8.26832e-05,8.26832e-05
50,81876.6,0.46264,0.24475,0.90217,0.96735,0.97601,0.99147,0.88485,0.5912,0.29289,0.93156,4.96766e-05,4.96766e-05,4.96766e-05
